peopleNum,positionType,positionlink,positionname,publishTime,workLocation
2,技术类,position_detail.php?id=43766&keywords=&tid=0&lid=0,27730-短视频终端业务开发- IOS （北京）,2018-08-29,北京
1,设计类,position_detail.php?id=43769&keywords=&tid=0&lid=0,27730-高级3D视觉设计师,2018-08-29,深圳
2,技术类,position_detail.php?id=43762&keywords=&tid=0&lid=0,22989-高级业务运维工程师（深圳）,2018-08-29,深圳
1,市场类,position_detail.php?id=43755&keywords=&tid=0&lid=0,OMG153-艺术频道运营主管,2018-08-29,北京
1,产品/项目类,position_detail.php?id=43759&keywords=&tid=0&lid=0,GY0-产品运营经理（深圳）,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43761&keywords=&tid=0&lid=0,SNG08-微云产品经理（深圳）,2018-08-29,深圳
2,市场类,position_detail.php?id=43750&keywords=&tid=0&lid=0,21528-腾讯音乐品牌合作商务经理（北京）,2018-08-29,北京
5,市场类,position_detail.php?id=43752&keywords=&tid=0&lid=0,21528-metadata数据运营,2018-08-29,北京
1,技术类,position_detail.php?id=43745&keywords=&tid=0&lid=0,25923-自研游戏技术运营工程师（深圳）,2018-08-29,深圳
1,内容编辑类,position_detail.php?id=43747&keywords=&tid=0&lid=0,SNG16-全民K歌曲库运营（东南亚方向）,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43645&keywords=&tid=0&lid=0,WXG08-212 微信搜一搜高级产品经理（策划岗，广州/北京）,2018-08-29,广州
1,产品/项目类,position_detail.php?id=43648&keywords=&tid=0&lid=0,SNG04-视频产品运营（深圳）,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43650&keywords=&tid=0&lid=0,WXG04-212 微信游戏--游戏运营产品策划（深圳）,2018-08-29,深圳
1,设计类,position_detail.php?id=43640&keywords=&tid=0&lid=0,26711-高级UI设计师（北京）,2018-08-29,北京
1,设计类,position_detail.php?id=43642&keywords=&tid=0&lid=0,WXG10-411 企业微信视觉设计（广州）,2018-08-29,广州
1,职能类,position_detail.php?id=43643&keywords=&tid=0&lid=0,CG-综合类采购商务主管,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43632&keywords=&tid=0&lid=0,28600-212 微信支付商户平台产品运营经理,2018-08-29,深圳
1,职能类,position_detail.php?id=43634&keywords=&tid=0&lid=0,27441-基金公司财务经理（北京）,2018-08-29,北京
1,职能类,position_detail.php?id=43635&keywords=&tid=0&lid=0,27441-行业研究员（深圳）,2018-08-29,深圳
1,职能类,position_detail.php?id=43636&keywords=&tid=0&lid=0,27441-投资公司管理经理（深圳）,2018-08-29,深圳
2,技术类,position_detail.php?id=43748&keywords=&tid=0&lid=0,SNG16-全民K歌平台基础后台工程师(深圳）,2018-08-29,深圳
1,市场类,position_detail.php?id=43737&keywords=&tid=0&lid=0,27553-腾讯音乐版权商务运营（深圳）,2018-08-29,深圳
2,技术类,position_detail.php?id=43738&keywords=&tid=0&lid=0,SD9-UnrealEngine游戏客户端开发工程师(深圳),2018-08-29,深圳
3,市场类,position_detail.php?id=43741&keywords=&tid=0&lid=0,21528-版权商务拓展（北京）,2018-08-29,北京
1,技术类,position_detail.php?id=43742&keywords=&tid=0&lid=0,18435-可疑交易管理岗（深圳）,2018-08-29,深圳
1,职能类,position_detail.php?id=43731&keywords=&tid=0&lid=0,MIG01-腾讯MIG事业群-企业文化高级经理,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43732&keywords=&tid=0&lid=0,MIG09-浏览器内容社区产品运营经理,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43724&keywords=&tid=0&lid=0,18432-银行合作产品经理（信用卡方向）,2018-08-29,深圳
1,技术类,position_detail.php?id=43725&keywords=&tid=0&lid=0,MIG12-高级后台开发工程师（深圳）,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43729&keywords=&tid=0&lid=0,15612-游戏运营（社区与内容运营）（北京）,2018-08-29,北京
1,技术类,position_detail.php?id=43717&keywords=&tid=0&lid=0,25663-智慧零售业务中心前端开发（深圳）,2018-08-29,深圳
1,技术类,position_detail.php?id=43719&keywords=&tid=0&lid=0,WXG01-122 自然语言处理算法工程师（北京）,2018-08-29,北京
1,技术类,position_detail.php?id=43720&keywords=&tid=0&lid=0,25924-手游SDK终端开发高级工程师(深圳),2018-08-29,深圳
1,技术类,position_detail.php?id=43722&keywords=&tid=0&lid=0,WXG01-122 微信视觉研发工程师（北京）,2018-08-29,北京
2,市场类,position_detail.php?id=43710&keywords=&tid=0&lid=0,23293-互娱品牌经理（棋牌类）,2018-08-29,深圳
1,设计类,position_detail.php?id=43713&keywords=&tid=0&lid=0,SD9-互娱2D场景原画设计(深圳),2018-08-29,深圳
2,设计类,position_detail.php?id=43714&keywords=&tid=0&lid=0,15712-游戏ui视觉设计(深圳),2018-08-29,深圳
1,技术类,position_detail.php?id=43706&keywords=&tid=0&lid=0,SNG02-腾讯云汽车行业方案架构师（北京/上海/深圳）,2018-08-29,上海
1,技术类,position_detail.php?id=43709&keywords=&tid=0&lid=0,24491-资深大数据工程师（深圳）,2018-08-29,深圳
2,产品/项目类,position_detail.php?id=43701&keywords=&tid=0&lid=0,SA-效果类行业运营经理（QQ系广告）深圳,2018-08-29,深圳
2,产品/项目类,position_detail.php?id=43672&keywords=&tid=0&lid=0,22989-腾讯云初创公司生态高级BDM,2018-08-29,上海
1,产品/项目类,position_detail.php?id=43675&keywords=&tid=0&lid=0,23674-产品质量评测（北京）,2018-08-29,北京
1,技术类,position_detail.php?id=43676&keywords=&tid=0&lid=0,25663-腾讯云国际业务技术咨询/实施专家（深圳）,2018-08-29,深圳
1,技术类,position_detail.php?id=43667&keywords=&tid=0&lid=0,TEG15-Mysql数据库架构师（深圳）,2018-08-29,深圳
1,技术类,position_detail.php?id=43668&keywords=&tid=0&lid=0,TEG15-数据挖掘工程师（深圳）,2018-08-29,深圳
2,产品/项目类,position_detail.php?id=43670&keywords=&tid=0&lid=0,22989-腾讯云初创公司生态高级BDM,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43662&keywords=&tid=0&lid=0,GY0-JOOX策划产品经理（深圳）,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43664&keywords=&tid=0&lid=0,18432-供应链金融证券化产品经理,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43653&keywords=&tid=0&lid=0,WXG04-212 微信游戏产品策划（深圳）,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43656&keywords=&tid=0&lid=0,18425-基础支付资金管理产品策划经理,2018-08-29,深圳
1,技术类,position_detail.php?id=43703&keywords=&tid=0&lid=0,21229-WEB前端开发工程师（上海）,2018-08-29,上海
1,产品/项目类,position_detail.php?id=43704&keywords=&tid=0&lid=0,25663-腾讯云区块链高级产品经理（北京）,2018-08-29,北京
2,产品/项目类,position_detail.php?id=43695&keywords=&tid=0&lid=0,27730-短视频平台高级产品经理（深圳）,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43697&keywords=&tid=0&lid=0,28605-211 海外支付产品运营经理（深圳）,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43686&keywords=&tid=0&lid=0,22851-腾讯视频娱乐中心项目经理（北京）,2018-08-29,北京
1,内容编辑类,position_detail.php?id=43687&keywords=&tid=0&lid=0,22851-腾讯视频娱乐记者（北京）,2018-08-29,北京
1,技术类,position_detail.php?id=43679&keywords=&tid=0&lid=0,TEG13-数据挖掘算法工程师（深圳）,2018-08-29,深圳
1,职能类,position_detail.php?id=43680&keywords=&tid=0&lid=0,21529-QQ音乐法务（深圳）,2018-08-29,深圳
2,技术类,position_detail.php?id=43682&keywords=&tid=0&lid=0,SNG08-企鹅FM+微视iOS开发工程师（深圳）,2018-08-29,深圳
1,设计类,position_detail.php?id=43683&keywords=&tid=0&lid=0,GY0-高级品牌视觉设计师（深圳）,2018-08-29,深圳
